2018-01-12 10:23:44,737 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@a7c2a53: startup date [Fri Jan 12 10:23:44 GMT+08:00 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2018-01-12 10:23:46,270 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Soft\ActiveMQ\ApacheActiveMQ5144\apache-activemq-5.14.4-bin\apache-activemq-5.14.4\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-01-12 10:23:47,380 | INFO  | PListStore:[D:\Soft\ActiveMQ\ApacheActiveMQ5144\apache-activemq-5.14.4-bin\apache-activemq-5.14.4\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2018-01-12 10:23:47,560 | INFO  | Apache ActiveMQ 5.14.4 (localhost, ID:LAPTOP-70GQ5HPR-56462-1515723827399-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-01-12 10:23:47,618 | INFO  | Listening for connections at: tcp://LAPTOP-70GQ5HPR:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-01-12 10:23:47,620 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-01-12 10:23:47,627 | INFO  | Listening for connections at: amqp://LAPTOP-70GQ5HPR:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-01-12 10:23:47,630 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-01-12 10:23:47,637 | INFO  | Listening for connections at: stomp://LAPTOP-70GQ5HPR:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-01-12 10:23:47,639 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-01-12 10:23:47,648 | INFO  | Listening for connections at: mqtt://LAPTOP-70GQ5HPR:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
